"According to Arnon & Stout (1939), what is the first criterion for a nutrient to be considered essential?",The element must be indispensable for the plant to complete its life cycle.
What is the second Arnon & Stout criterion for nutrient essentiality regarding substitution?,The function of the element cannot be substituted by another element.
What is the third Arnon & Stout criterion for nutrient essentiality?,The element must be directly involved in the plant's metabolism.
How are plant nutrients classified based on the quantity required?,They are classified as macronutrients (required in large quantities) and micronutrients (required in small quantities).
Which three elements are classified as primary macronutrients?,"Nitrogen (N), Phosphorus (P), and Potassium (K)."
Which three elements are classified as secondary macronutrients?,"Calcium (Ca), Magnesium (Mg), and Sulphur (S)."
List the eight essential micronutrients required by plants.,"Iron (Fe), Manganese (Mn), Zinc (Zn), Copper (Cu), Boron (B), Molybdenum (Mo), Chlorine (Cl), and Nickel (Ni)."
Which three elements are classified as structural nutrients because they form components of biomolecules?,"Carbon (C), Hydrogen (H), and Oxygen (O)."
Which nutrient is a key component of ATP and is crucial for energy transfer in plants?,Phosphorus (P).
Magnesium (Mg) is classified as an energy-related nutrient because it is a component of which vital molecule?,Chlorophyll.
Which nutrients are primarily involved in maintaining osmotic and ionic balance within a plant?,"Potassium (K), Calcium (Ca), Magnesium (Mg), and Chlorine (Cl)."
What is a primary metabolic role of Nitrogen (N) in plants?,"It is a fundamental component of amino acids, proteins, and nucleic acids."
What are the classic deficiency symptoms of Nitrogen (N) in plants?,"General chlorosis (yellowing) and stunted growth, typically appearing on older leaves first."
A key role of Phosphorus (P) in plants involves energy transfer through the molecule _____.,ATP (Adenosine triphosphate).
What is a characteristic visual symptom of Phosphorus (P) deficiency in plant leaves?,A purplish or reddish discolouration due to anthocyanin accumulation.
What is a major function of Potassium (K) related to water balance in plants?,"It regulates stomatal movement and is crucial for osmoregulation, improving drought tolerance."
Scorching or burning along the margins of leaves is a typical deficiency symptom of which macronutrient?,Potassium (K).
What is the primary structural role of Calcium (Ca) in plants?,"It is a key component of the cell wall, forming calcium pectate."
"Blossom-end rot, a common disorder in tomatoes, is caused by a deficiency of which secondary nutrient?",Calcium (Ca).
Magnesium (Mg) is the central atom of which vital molecule involved in photosynthesis?,The chlorophyll molecule.
"What is the term for the yellowing between the veins of leaves, a common symptom of Magnesium (Mg) deficiency?",Interveinal chlorosis.
Sulphur (S) is a key constituent of which two essential amino acids?,Cysteine and methionine.
How does Sulphur (S) deficiency typically manifest in terms of leaf colour and location?,It causes uniform chlorosis (pale-yellow appearance) in young leaves.
"Although not a direct component, Iron (Fe) is essential for the synthesis of which plant pigment?",Chlorophyll.
"Where on the plant do the symptoms of Iron (Fe) deficiency, such as interveinal chlorosis, typically first appear?","On the young leaves, because iron is an immobile nutrient."
Manganese (Mn) is an enzyme activator particularly important for which process in photosynthesis?,Photosynthetic oxygen evolution.
'Grey speck' in oats is a classic deficiency symptom of which micronutrient?,Manganese (Mn).
Zinc (Zn) is essential for the synthesis of which plant hormone that regulates growth?,Auxin.
'Khaira disease' in rice is caused by a deficiency of which micronutrient?,Zinc (Zn).
What is a key role of Copper (Cu) in providing structural integrity to plants?,It is essential for lignin formation.
'Dieback' in citrus trees is a characteristic symptom of a deficiency in which nutrient?,Copper (Cu).
Which micronutrient is vital for cell wall formation and pollen germination?,Boron (B).
'Brown heart' in turnip and 'hollow stem' are disorders caused by a lack of which element?,Boron (B).
"Molybdenum (Mo) is an essential component of the nitrate reductase enzyme, which is crucial for what process?",Nitrate reduction (the conversion of nitrate to nitrite).
The 'whiptail' disorder in cauliflower is a classic symptom of a deficiency in which micronutrient?,Molybdenum (Mo).
What is the primary role of Chlorine (Cl) in plants?,It is involved in osmoregulation and photosynthesis.
Nickel (Ni) is an essential component of which enzyme involved in nitrogen metabolism?,The urease enzyme.
A deficiency of Nickel (Ni) can lead to the toxic accumulation of what substance in plant leaves?,Urea.
What defines a 'beneficial element' in plant nutrition?,An element that is not essential for all plants but can be beneficial under certain conditions.
"Which beneficial element is known to strengthen cell walls and increase pest resistance, especially in rice and sugarcane?",Silicon (Si).
Which beneficial element is particularly useful in C4 plants and can partially substitute for potassium (K)?,Sodium (Na).
Cobalt (Co) is considered a beneficial element because it is essential for what specific process in legumes?,Nitrogen fixation by symbiotic bacteria.
Which beneficial element can stimulate the growth of tea plants specifically in acidic soils?,Aluminium (Al).
What defines a 'mobile nutrient' in terms of symptom location?,"A nutrient that can be translocated from older to younger tissues, so deficiency symptoms appear on old leaves first."
List the five nutrients classified as mobile within a plant.,"Nitrogen (N), Phosphorus (P), Potassium (K), Magnesium (Mg), and Molybdenum (Mo)."
What defines an 'immobile nutrient' in terms of symptom location?,"A nutrient that cannot be easily moved from older tissues, so deficiency symptoms appear on young leaves first."
List the seven nutrients classified as immobile within a plant.,"Calcium (Ca), Sulphur (S), Iron (Fe), Boron (B), Copper (Cu), Zinc (Zn), and Manganese (Mn)."
"The interaction between Nitrogen and Sulphur is _____, as they work together to boost protein synthesis.",synergistic
What is the antagonistic interaction between high levels of Phosphorus (P) and Zinc (Zn)?,High phosphorus levels in the soil can reduce the availability and uptake of zinc.
The application of excess Potassium (K) can antagonistically reduce the uptake of which two secondary macronutrients?,Magnesium (Mg) and Calcium (Ca).
"What is the recently updated status of Silicon (Si) in plant nutrition, particularly for crops like rice and wheat?",It has been officially recognised as 'quasi-essential' due to its role in stress tolerance.
What is the primary goal of using modern nano-fertilisers like Nano-Urea?,To enhance nutrient-use efficiency while having a lower environmental impact.
Recent advances in plant _____ research show that beneficial microbes can increase nutrient use efficiency.,microbiome
What is a symptom of poor tillering in cereals indicative of?,Nitrogen (N) deficiency.
Delayed maturity and poor root growth are deficiency symptoms of which primary macronutrient?,Phosphorus (P).
Lodging (stem bending or breaking) in cereals is often a symptom of deficiency in which nutrient responsible for stem strength?,Potassium (K).
The death of growing points (meristems) and deformed leaves with hooked tips are symptoms of a deficiency in which nutrient?,Calcium (Ca).
"In cotton, a reddening of the leaves is a characteristic symptom of _____ deficiency.",Magnesium (Mg)
Why is Sulphur (S) deficiency becoming more common in modern agriculture?,Due to the widespread use of sulphur-free fertilisers like urea and DAP.
'Little leaf' in cotton and 'rosetting' (shortened internodes) are deficiency symptoms of which micronutrient?,Zinc (Zn).
Poor grain filling and twisted young leaves can be an indication of a deficiency in which micronutrient?,Copper (Cu).
"Cracked fruits (e.g., in apple, tomato) and flower sterility are often caused by a deficiency of _____.",Boron (B)
Molybdenum deficiency can sometimes present symptoms similar to _____ deficiency.,Nitrogen
"A wilted appearance at the leaf tips, sometimes accompanied by bronzing, can indicate a deficiency of which micronutrient?",Chlorine (Cl).
Which soil minerals are a natural source of Potassium (K)?,Micas and feldspar minerals.
What are two common fertiliser sources for Phosphorus (P)?,"Rock phosphate, SSP (Single Super Phosphate), or DAP (Diammonium Phosphate)."
Lime and gypsum are common soil amendments used to supply which secondary macronutrient?,Calcium (Ca).
Which soil amendment is a source of both Calcium and Magnesium?,Dolomite.
"What role does Selenium (Se) play as a beneficial element, particularly for pasture plants?",It has an antioxidant role.
Why might micronutrient deficiencies appear more frequently in alkaline soils?,"The availability of many micronutrients (like Fe, Mn, Zn, Cu) decreases as soil pH increases (becomes more alkaline)."